Time,Surge Speed,Sway Speed,Yaw Rate,Heading,x,y,Rudder Angle,Wind Direction,Wind Speed
0.0,5.410456583221194,3.51579246299568e-12,-3.719296635999916e-14,-6.803446694902959e-13,876.8838382981982,-1.8239832400013256e-07,0.0,3.141592653589793,0
1.0,5.410459163749464,-2.6054168964090404e-12,3.1054061604317775e-14,-6.981082378842984e-13,882.2943435562494,-1.8323866868286132e-07,0.0,3.141592653589793,0
2.0,5.41046222111449,-1.87664754183816e-12,-1.7920458983060443e-14,-7.149836278586008e-13,887.7048516616438,-1.8409394897389575e-07,0.0,3.141592653589793,0
3.0,5.4104648577411805,-2.0301259468322e-12,1.6919512657041697e-14,-7.149836278586008e-13,893.1153626148264,-1.8532658430103766e-07,0.0,3.141592653589793,0
4.0,5.410467718761708,-8.790346297964e-14,8.45321134382587e-15,-7.327471962526033e-13,898.5258762861554,-1.8629314979534684e-07,0.0,3.141592653589793,0
5.0,5.410470439536056,-1.82702714419568e-12,-6.131632550464745e-15,-7.496225862269057e-13,903.9363926126211,-1.8767885023862618e-07,0.0,3.141592653589793,0
6.0,5.410472963965906,2.7286123649988e-12,4.2522329230963846e-14,-7.496225862269057e-13,909.3469115949702,-1.8884696828536107e-07,0.0,3.141592653589793,0
7.0,5.410475348149627,-1.7499059078676e-13,6.5766915097233e-15,-7.673861546209082e-13,914.7574331693089,-1.903814705883633e-07,0.0,3.141592653589793,0
8.0,5.410478181120868,-3.26368062044752e-12,-1.1792666156950085e-13,-7.673861546209082e-13,920.1679572068324,-1.9153770836055628e-07,0.0,3.141592653589793,0
9.0,5.410480593353825,2.0908747096272003e-13,3.441498396724152e-14,-7.673861546209082e-13,925.5784837715495,-1.933112372398682e-07,0.0,3.141592653589793,0
10.0,5.410482977537547,4.3727075852796e-13,-4.127907302712655e-14,-7.860379014346108e-13,930.98901273758,-1.94479909509937e-07,0.0,3.141592653589793,0
11.0,5.4104853617212685,-2.7490469809558e-12,4.235274140531173e-14,-7.860379014346108e-13,936.3995441032934,-1.9539062634521542e-07,0.0,3.141592653589793,0
12.0,5.410487549560493,6.508317676369601e-13,-1.6658295045659878e-14,-7.673861546209082e-13,941.8100777412053,-1.96589297729588e-07,0.0,3.141592653589793,0
